id	title	abstract	labels
11	轮回乐园	苏晓签订轮回契约，进入各个世界执行任务。他曾目睹一个世界崩灭为尘粒，也曾与被遗忘的王者持刃而战。暗鸦在低语，黑渊下巨兽咆哮。欢迎来到，轮回乐园……---------------本书动漫无限流，作者节操满满，请放心入坑。	位面 冷酷 无限流 
12	怪物被杀就会死	灵气复苏，天地异变。众星颤动，邪魔苏生。这是疯狂的时代，怪异与邪物行走在大地，过去的亡魂再归人间，终末的阴影不断迫近。——但好像有什么地方不太一样？「要杀就杀，要剐就剐……你不要过来啊！！！！」「昼哥，别打了，再打这邪魔就死了！」「昼哥，算了算了，放过它们吧，太惨了……」苏昼：「不能算！」======怪物，指的是从观察者角度看来怪异的事物。可以是各种特殊的超凡自然生物亦或是非生物，甚至是一些思想和性情古怪的人类。怪物并没有公认的解释，大多都是描述者单方面的叙述，不过不管怎么说，绝大部分怪物都无法交流，无法分类，很难杀死，甚至具备对通常人来说的不死之身。当然，就和绝大部分人所知道的一句废话，‘人被杀，就会死’，一样。怪物被杀，也会死。	学生 轻松 魔王附体 龙 
13	这号有毒	在《天尘》创建小号没多久的路浔，穿越到了这款仙侠类游戏里，成为了一名光荣的NPC。他发现自己穿越早了三年，本打算积蓄实力，默默地等待沙雕玩家们的大规模降临。然后，像个正常NPC一样给他们发布任务，让他们为我所用。没想到的是，在他的成长道路上，一开始就遇到了难题。如今，他首先要面对的是……一个要把他抓去当炉鼎的女魔头！……「这号好像有点毒啊！」路浔。……	幻想 
14	转生眼中的火影世界	战战兢兢的日向镜，终于得到了梦寐以求的宝物...在宝蓝色的转生眼中，火影的世界究竟是什么样的呢？	争霸流 腹黑 豪门 
15	奇迹的召唤师	魔术的才能是一流，但体能的方面是废材？召唤的使魔可以是成千上万，但自己是独守后方？对此，只想说一句话。「那都不是事！」这是得到奇迹，亦对奇迹珍爱有加的少年的故事。「只要有使魔（同伴），我便是无敌！」	位面 召唤流 宅男 轻松 
16	这个日式物语不太冷	白凡面前有一块等身镜。镜中的白凡冲着自己在大大地笑着。很奇怪——因为他根本就没有笑。在白凡的目光下，镜中自己的嘴角咧到脖子根。就算是一直镇静的白凡也露出一抹讶然之色。看着对方对着自己的脑袋张开血盆大口，白凡缓缓地抬起自己手中的手机——咔擦一声。他比了个剪刀手，拍了张合照。————书友群：883892482，暗号书名	轻松 
17	精灵掌门人	为什么考试会有精灵对战，为什么出门会被精灵袭击，谁告诉我地球发生了什么……不要碰我！我不要吃药，我没疯！接受了设定后……方缘立志成为一名优秀的训练家。「真香。」	宠物 轻松 
18	精灵之黑暗崛起	青木，一位二次重生的平民训练家，从火箭队开始新生。一世的经历告诉了他，人类与精灵的羁绊！「这一世，我将带你们俯瞰世界！」ps:其实就是扑街过​一次的的家伙，准备避（zai）免（ci）扑街的过程。写实向精灵小说文，初始精灵黑暗鸦，无女主！本书又名​：​宠物小精灵之黑暗崛起​口袋妖怪之黑暗崛起​精灵宝可梦之黑暗崛起​神奇宝贝之黑暗崛起每日五更，不定时爆发十更，求月票！求订阅！求骚扰！	冷酷 系统流 
19	芝加哥1990	穿越、90年代、芝加哥、美娱、作曲、编剧、制片、传媒集团	明星 穿越 轻松 
20	木叶之影流	火影世界开始的新故事，从火葬火影开始。	
21	魔弹之王与战姬	挥舞着龙赐与的超常武器，驰骋在战场上的美丽少女们——战姬。隶属于国王臣下，七位战姬各自统领七块领地，以「吉斯塔特的七战姬」之名威震邻近诸国。布琉努王国的贵族少年堤格尔，在某次被征召的作战中遇见了其中一名战姬。白色的头发以及赤红的双瞳，同时具有幻想般美貌和压倒性威严的少女，其名为「银闪的风姬」艾莲。堤格尔虽然试图击毙身为敌方统帅的艾莲，却被她超越人类极限的剑技打败。但对他的用弓技巧相当中意的艾莲，竟然向他宣告「你是我的俘虏了。」……这是怎么回事！？畅快淋漓的最强美少女奇幻故事，就此开幕！	魔法 后宫 战争 
22	加速世界	无论时代如何进步，这世上总是少不了遭到霸凌的一方。肥胖的国中生春雪就是其中一名受害者。只有玩着学校局域网络中设置的壁球游戏时，他才能得到不受打扰的平静。这款以虚拟角色挑战「速度」极限的游戏平凡无奇，但春雪却非常喜欢。时值秋季，春雪在学校里过着一如往常的日子。因缘际会之下，他认识了有着全校第一美貌与气质的少女「黑雪公主」，却从此改变了他的人生。透过少女传给他的一款神秘软件，春雪得知了「加速世界」的存在。从这一瞬间起，校内地位处于最底端的春雪，就成了保护公主的骑士「超频连线者」，网络起家的超人气作家，终于以电击小说大赏<大赏>得主之姿正式出道!实力派作家笔下的未来青春娱乐小说极速登场!	奇幻 校园 后宫 
23	我的妹妹哪有这么可爱	我的妹妹──高坂桐乃既染发又穿耳洞，正是所谓的时下的女国中生。身为家人的我这么说也许不甚客观，不过她真的是个大美女。这家伙平常完全没把我这当哥哥的放在眼里，而且我也不喜欢她那种态度，所以好几年都没好好和她交谈过。虽然经常被男性友人羡慕，但我真想大声说「即使有个漂亮的妹妹，好事可是一件也没有啊」（至少对我而言是如此）！但却在某一天我不小心踩到有关她秘密的超大地雷，没想到妹妹竟然会找我作「人生咨询」──!?	恋爱 喜剧 校园 后宫 幽默 搞笑 
24	星刻龙骑士	这是一个龙族与人类共生的世界，藉由某种特殊仪式，人类与龙族缔造亲密的主从关系。亚修是一个人称天才驯龙师的少年，然而他的龙伴侣却迟迟未出现，让他成为同学眼中的笑柄。在一个偶发事件当中，亚修的龙伴侣终于诞生了，偏偏看起来不像龙族，而是一个人类的美少女……！]亚修将如何跟这个力大无穷又蛮横泼辣的龙伴侣相处？	奇幻 冒险 
25	我的朋友很少	在学校总是独来独往的羽濑川小鹰，在一次偶然的情况下，目击到总是摆出一副臭脸的美少女三日月夜空一个人很开心地自言自语。「难、难道你看得见幽灵之类的东西？」「我只是在跟朋友讲话而已，跟我的空气朋友讲话！」（这家伙没救了……）小鹰和夜空聊了一下该怎么交朋友的话题，没想到夜空竟然凭着莫名其妙的行动力成立一个以交朋友为目的的问题社团。而且也不知道是哪里搞错，问题美少女们还接二连三地申请入社！大家卯起劲来打美少女游戏电玩，一起去游泳、一起演戏。似乎一直没有抓对要领的他们，果真能交到朋友吗？	学园 残念系喜剧 后宫型作品 
26	情色漫画老师	高中生兼轻小说作家的我，和泉MASAMUNE有个家里蹲的妹妹。和泉纱雾，一年前才成为我妹妹的那家伙，完全不走出房间，今天也用力踩踏地板，要我帮她准备食物。这种关系可不称不上「兄妹」，我得想个办法让她自己走出房间才行。因为我们是两人相依为命的「家人」──我的搭挡担任插画家的「情色漫画老师」，是个能够画出非常棒的煽情图的可靠伙伴。不过我们没见过面，虽然他大概只是个恶心肥宅，但我一直很感谢他！……但是，我突然发现冲击的事实。「情色漫画老师」其实是我的妹妹!?	搞笑 校园 恋爱 
27	境界线上的地平线	被各国分割统治的中世纪的神州・日本。在那空中上方航行著由八艘船组成的都市舰「武藏」——。在遥远的未来。经过了「重奏统合争乱」后，把联系著人类的命运的「圣谱」作为原本历史的再现而执行的各国。然后，是各位把迷惑与抉意藏于胸口，前进开拓著未来的人们。将互相重合的中世纪世界作为舞台，学生们在学员国家间的抗争正式上演了！描绘AHEAD系列『终焉的年代记』与都市系列之间的时代的，壮大的物语「GENESIS」系列，终于开始！	幻想 战斗 喜剧 历史 
28	狼与辛香料	旅行于各地贩卖并收购物品的商人克拉福·罗伦斯，拜访帕斯罗村并离开后，在自己的马车上发现了不知从哪里跑来的东西。拨开从帕斯罗村购买的小麦束后，竟然发现一位拥有兽耳与尾巴的美少女。少女自称为贤狼赫萝，是带给帕斯罗村长期丰收的少女。「虽然咱长久以来被尊为神，不过，咱就是咱，咱是赫萝。」见到少女的一只手变化成狼脚的罗伦斯，虽然一边怀疑赫萝的身份，但一边也答应让想回到出生遥远北方的少女一同旅行。	中世纪 冒险 奇幻 爱情 经济学 
29	发条精灵战记 天镜的极北之星	卡托瓦纳帝国是与邻接的齐欧卡共和国处于战争状态的大国。在其国境之内的某个角落，有一名因为某些内情，而以不情不愿的态度准备参加高等军官甄试的少年，名为伊库塔。伊库塔是个厌恶战争、懒惰散漫、爱好女色的人。在当时，没有任何人预料到这样的他，之后会打算成为、甚至被称呼为名将的军人……以身为军人的卓越才能，在战乱四起的世界里努力求生的少年，伊库塔。本书描述他波涛汹涌的至今生涯，一场盛大的奇幻战记在此揭幕！	奇幻 战争 
30	偶像总爱被吐嘈！	被春天的温暖阳光所吸引而在街上随意闲晃的我，突然被人给绑架了。咦？什么？不不不，你们究竟要做什么啊!?‥‥‥当我回过神来之后，发现自己不知为何待在广播节目的录音室里头。就在我发着呆时，一名美少女踏进录音室里——天…天啊！这不是我一直很崇拜的人气偶像声优音无圆吗‥‥‥咦咦咦咦咦!!结果，我们俩就这样顺势开始了广播节目的工作‥‥‥但我的命运到底会何去何从!?以怒涛之势急遽展开＆热闹滚滚的喜剧，在此揭幕！	恋爱 喜剧 
31	线上游戏的老婆不可能是女生？	向线上游戏中的女性角色告白！→遗憾！对方是假冒女生的网路人妖☆有着这段不为人知的黑历史的少年英骑，有一天被线上游戏中的女角色告白了。原以为黑历史将再次重演，但线上游戏中的「老婆」亚子——玉置亚子却是如假包换的美少女，而且，她竟然还不懂得区分现实与游戏……？「早安，卢西安！」别、别这样！太丢脸了，不要用角色名字叫我啦！不但在人前直呼游戏中的角色名，还一直黏到线上游戏里的老公身上。为了「纠正」如此可惜且又危险的亚子，英骑和公会的同伴们（※但是是美少女）挺身而出——展开一场遗憾又愉快的日常与线上游戏生活！	搞笑 恋爱 校园 
32	我将在明日逝去，而你将死而复生	坂本秋月天生有着一副凶恶长相，使得他在学校显得格格不入。某天晚上，他目击到一位少女发生意外，因此遭到神秘人物逼迫做出致命选择……「你愿意用你的一半寿命去拯救她吗？」秋月牺牲自己的寿命救回了少女「梦前光」……却不知为何每隔一天，光的人格就会进入秋月的身体──！于是展开了双心同体的交换日记生活。光的人格喜欢恶作剧，引发了一连串的惊人风波，并逐渐凝聚起友谊，让秋月原本萎靡不振的人生急遽产生变化！然而，这样的每一天也随著光过去认识的超级帅哥登场而山雨欲来──只能在交换日记中相见的「一匹狼的我」与「令人惋惜的她」交织而成的人格转换青春物语！	校园 青春 
33	魔王女孩与村民A	我，佐东也是那些《村民》的一员，然而有一天，我却被拥有《魔王》个性的女孩──龙之峰樱子盯上了。她虽然个子娇小又温顺有礼，却老是会突然说出「好想消灭人类」这种话，真希望她可以改一改。我那对她燃起反抗意识的青梅竹马《勇者》──光之丘翼也是个麻烦人物。尽管她也是一名超级美少女，却每次只要念头一起，就会不顾一切、一股脑儿地往前冲......夹在两人中间的我，究竟该如何是好!?	奇幻 恋爱 喜剧 
34	烙印纹章	这是一个曾被拥有高度智慧的龙所支配，利用魔素支撑着文明的世界。十年内，不断进行着战争的梅菲乌斯和加贝拉想要通过王族间的政治联姻，为长久的战争画上休止符。幼年时代，因战争而背井离乡的剑斗士欧鲁巴，由于容貌长得和梅菲乌斯皇子如同孪生，而被人与传闻中的愚蠢王子掉包，代替其进行婚礼。另一方面，好胜的加贝拉公主碧莉娜决心笼络皇子，以达到为本国谋求利益的目的。在这样两人的婚礼途中，突然有人对他们展开了袭击——！？两人的内心与和平的未来究竟会如何发展？杉原智則奉上的幻想故事登场！	奇幻 史诗 
35	C3魔幻三次方	夜知春亮收到了父亲突如其来自国外寄回家的宅配，那是一个非常重的神秘黑色立方体。感到疑惑的春亮，虽然隐约觉得有麻烦的事要发生，但还是漫不在意地将其搁置不管。——就在当晚，睡醒的春亮听到了可疑的声响。难道遭小偷了……？在紧张的气氛之中，春亮发现了一名入侵者。那竟然是个在明月照耀下散发着梦幻气息的——「全裸的女煎饼小偷！？」自不凡的邂逅展开序曲，人气作家水濑叶月的新系列作品登场！	校园 奇幻 后宫 
36	神的记事本	「我可不是普通的侦探，是尼特族侦探。专长是搜寻全世界，找出死者的话语。」统率聚集于暗巷中尼特族的『尼特族侦探』──艾丽斯如是说。高一那年冬天我和彩夏所卷入的怪异事件，以及侵蚀都市的恶质毒品『ANGEL．FIX』，所有谜底都是由足不出户的少女侦探艾丽斯解开的。「了解真相可能会破坏你以往平静的生活，即使如此你还是想知道吗？」因为我的回答，平日无所事事的尼特族为了解决案件而出动了！描写尼特族青少年有点不堪、有点可笑，又带着一丝淡淡哀愁的青春冒险故事。	校园 惊悚 推理 
37	某科学的超电磁炮	有230万人口，其中八成人口为学生的「学园都市」，是比其他地区科技更为先进，并从事「超能力开发」的特殊地区。而整座学园都市中仅有七人的等级5超能力者之一御坂美琴，由于她的能力与个性使然，因而被卷入了学园都市中所发生的种种事件……	学园 超能力 战斗 
38	说谎的男孩与坏掉的女孩	御园麻由。她是我的同学，既聪明又漂亮，是对我来说是很重要的人。她现在就坐在我旁边，天真无邪地笑著。在客厅里面与麻由一起看著电视，节目正叙述著在这个平静安稳的城市里所发生的绑架案概要。绑架，在某种意义上来说是比杀人更恶质的犯罪行为。杀人只要本人死了事件就随之结束；但是绑架案件，即使被释放之后，事情也会一直持续下去。虽是已经扭曲的人生，却依然不得不持续下去，也无法加以修正。正常人是无法理解这件事的吧!啊，说到这个───下次有时间的话问问她好了。小麻，你为什么要绑架那些孩子们呢?	奇幻 校园 惊悚 
39	爆肝工程师的异世界狂想曲	正在爆肝加班当中的程式设计师，游戏中名为「佐藤」的铃木一郎（29岁）。原本应该在小睡片刻的他，回过神竟发现自己被放逐到了陌生的异世界！连慌乱的闲暇都没有，一大群从未见过的怪物逼近眼前，流星雨自天空倾盆而降——然后转眼间，最强等级的力量和钜额财富都得手了……！？就这样，佐藤「温馨，时而严肃，并兼具后宫」的异世界冒険故事就此展开！	穿越 冒险 后宫 
40	织田信奈的野望	高中生相良良晴回过神来，发现自己不知为何身处在战国时代的战场中！？在那里，他遇见了一位自称织田信奈的少女，而对方的身分居然是尾张的大名。外表可爱、行动却放纵不羁的信奈，不但称呼良晴为猴子，还把他使唤来使唤去。在困惑之余，良晴逐渐和信奈以及她身边那些个性独特的同伴们打成一片。但是在另一方面，信奈与坐拥邻国骏河、企图掌握天下的野心家·今川义元对决的时刻也逐渐逼近……以风起云涌的战国时代为舞台，天下布武的爱情喜剧就此展开！	日本战国 穿越 架空历史 
41	路人女主的养成方法 恋爱节拍器	「我要将你栽培成令人心动得小鹿乱撞的第一女主角！」这个故事是叙述我——安艺伦也，在把一名不起眼的少女培养成体面的女主角之余，更以她为蓝本制作出美少女游戏的感人历……「啊，别把它揉掉！那是我花一个晚上好不容易才写出来的企画书！」「写一篇只有封面的企画书为什么会花掉一整晚啊？」……就这样，培养第一女主角的育成喜剧开演！	恋爱 浪漫 喜剧 后宫 
42	碧阳学园学生会议事录	私立碧阳学园学生会办公室——那是天选之人才能进入的圣域，同时也是乐园。学生会成员中唯一的男性副会长——杉崎键，今天也在学生会办公室的中心呼唤爱情：「我要创造美少女后宫！」（不过受到的待遇比空气还不如）。而萝莉学生会长——樱野玖璃梦，今天也在学生会办公室的中心任意呼喊：「我对普通人类没有兴……（自主规范）」每天进行言不及意的对话，每天持续浪费青涩的青春。少年少女啊，就这样航向名为「妄想」的大海吧！这就是记录愉快、痛快又带有一点秘密，碧阳学园学生会成员可爱日常生活的第一页。	校园 喜剧 
43	想变成宅女，就让我当现充！	想要过美好的现充人生，得先把辣妹改造成宅女！？恋崎桃是个恣意妄为、很Sweets（笑）但是却也很可爱的辣妹，只不过她对宅一点兴趣都没有，而我却得帮她成为一名宅女！看萌系动画会说：「这到什么时候才会有趣？」去秋叶原就念着：「哇！这什么，这图好色……」这种人怎么可能成为宅女呢！	校园 恋爱 喜剧 
44	HP 公主天国	扑通扑通、扑通扑通、扑通扑通、扑通扑通——……与神来恭太郎面对面地坐在床上的大公主尤菲娜、缓缓地掀起她身上那白色的衣料。「恭太郎、我命令你……。和我一起、生育继承者……」《特莱克瓦兹王国》有五位举世闻名的美丽公主。她们手持威力巨大的武器守护着国家。公主们为了成为下一任女王，必须先生育出《继承者》不可！！不知为何，原本作为一名普通的高中二年级学生的神来恭太郎被召唤到《特莱克瓦兹王国》、他要独身一人与五位公主来《生育继承者》！？一段既欢乐又羞涩的后宫生活拉开新的帷幕！	爱情 后宫 
45	RPG WORLD-RPG·世界-	「那个，我居然进入了憧憬已久的剑与魔法的幻想世界！？究竟是何时进入的！？好厉害！真是好厉害啊！！！」普通的高中生，我——勇吾，回过神来的时候居然进入了正在玩的游戏的世界之中。而且，LV居然是最上流。新认识的村里的姑娘是超级美人。这一切都应该让我乐到都不想回原来的世界了。虽说应该如此，但因为难以拒绝美人姐妹的委托，顺势就接下了迷宫任务。咦？但、但是这个世界里有重置键或者复活的咒语吗！？「唉，勇者也很不容易啊……」我们任务的未来会如何呢！？波澜万丈的RPG闹剧，开关ON！	冒险 魔法 异界 穿越 
46	空战魔导士培训生的教官	世界受〈魔甲虫〉威胁，大地遭其占据，人类如今只能住在天空中的浮游都市里。人类当中诞生出以魔力对抗〈魔甲虫〉的魔法师──空战魔导士。就读空战魔导士培育机构──学园浮游都市〈密斯特岗〉的彼方．英司，是被冠上〈黑之剑圣〉称号的S128特务小队菁英王牌。然而，如今他却被视为「特务小队的叛徒」而受到众人轻蔑、厌恶……某天，彼方被任命为连战皆败的E601小队教官。这支小队收容了三名个性特异的少女──？由叛徒与问题学生少女们展开的雄豪进击，现在启动！	魔法 校园 后宫 
47	银之十字架与吸血姬	红城绯水一心向往着平凡的高中生活，结果却在开学典礼当天就被吸血鬼少女给咬了。吸血鬼少女说：「我咬了你，你就要成为我的仆人。」偏偏红城绯水对吸血鬼拥有超级抵抗力，被吸再多血也不会变成吸血鬼。除了吸血鬼，就连人造人少女以及以消灭吸血鬼为己任的搜魔课美少女都对他别有所求，他的高中生活注定是离平凡愈来愈远了。	校园 爱情 奇幻 冒险 搞笑 
48	Only Sense Online绝对神境	「ONLYSENSEONLINE」──这是一款需要玩家拼凑、组合名为【天赋】的能力，以「独一无二」之强悍为目标的VRMMORPG。「云」是一名在好友「塔克」与妹妹「缪」两个重度网游废人拼命攻略时，不断装备被玩家称为「垃圾」、「没路用」冷门天赋的游戏新手。要说他能做些什么，也就只有不停生产药水而已……这样的云，某天遇见了在游戏中大大活跃、被称为「顶尖生产职玩家」的大姊姊玛琦！探索潜藏于道具生产以及辅助魔法之中、没有任何人知道的可能性，以Support角之姿掀起革命的「最强」新手玩家，就此诞生──！？	奇幻 冒险 
49	大传说中勇者的传说	传说中勇者的传说续作：大传说中勇者的传说西昂和莱纳本来的目标是要建立一个理想中的国家，创造一个每个人都能欢笑度日的世界...可是西昂变了...莱纳发现了西昂被不知名物体改变、侵蚀了，为了拯救西昂，莱纳与菲莉丝一同离开洛兰德寻找拯救的方法。期间莱纳遇见了过往的同伴、友人、仇敌甚至父母，渐渐地发现了自己的身世、使命。而北方佳斯塔克的勇者王、南方洛兰德的英雄王、西南方雷姆鲁斯的神秘王的目的到底是什么？西昂和莱纳本来的目标是要建立一个理想中的国家，创造一个每个人都能欢笑度日的世界...可是西昂变了...莱纳发现了西昂被不知名物体改变、侵蚀了，为了拯救西昂，莱纳与菲莉丝一同离开洛兰德寻找拯救的方法。期间莱纳遇见了过往的同伴、友人、仇敌甚至父母，渐渐地发现了自己的身世、使命。而北方佳斯塔克的勇者王、南方洛兰德的英雄王、西南方雷姆鲁斯的神秘王的目的到底是什么？	奇幻 
50	冰结镜界的伊甸	「允许切换至『对．秽歌之庭术式』——请建构第七天音律。」被要求展开结界的少女，脸颊上滑过了透明的泪滴。「榭尔提斯……我们真的再也不能见面了吗？」在这个被「幽幻种」所入侵的世界里，唯有在巫女的祈祷下受到保护的浮游大陆「奥比耶‧克雷亚」，人类才得以生存。结界的巫女「优米」一直在等待某位少年。他就是曾担任过守护巫女的「护士」，同时也是优米的青梅竹马「榭尔提斯」。自大陆坠落，并被视为异端而遭到放逐的他，过去和优米之间有一个约定──「我一定会去到妳的身边」。体现世界法则的少女、以及被世界法则所拒绝的少年，两人的思念交织而成的多层世界奇幻故事，在此拉开序幕！	冒险 奇幻 爱情 
51	钢壳都市雷吉欧斯	异形遍布的，荒芜世界，为了守护重要的人，少年与少女挺身迎战！舍弃战斗的少年与一名少女的邂逅——产生了奇迹。在遥远的过去，世界被一种谜般的物质所污染，造成大地荒芜、其中诞生了被称为「污染兽」的异形生物。它们在都市周围伺机猎捕人类、唯一能够让人类存活下去的只有人工世界——以自我意识步行的<自律型移动都市>。在无法生存的严酷世界中，为了不受外敌伤害，人们产生了各种特殊能力。在其中一座学园都市<洁尔妮>里，一名少年拉开了传奇的序幕……	奇幻 冒险 
52	美漫世界的魔法师	重生到了九十年代的英国，诺亚觉得满地都是商机。可是某一天看到报纸上面说霍华德·斯塔克发生了车祸，他就觉得自己倒霉了。尤其自己十一岁时一只猫头鹰停在他的窗前，他更是无语的要命.....（好吧这就是一本披着美漫皮的漫威小说……至少主线在漫威）（美漫流，已有一百九十万字万本小说《虚空法师的奇幻之旅》，人品坚挺。）	机智 法师 重生 
53	对魔导学园35试验小队	在一个身怀魔力的人类濒临灭绝的世界──武力的颠峰地位由刀剑换成魔法，再变为枪械。而就读于培训取缔残存之魔力威胁的『异端审问官』之专门机关，通称『对魔导学园』的草剃哮，是个完全不会用枪，只靠一口刀与敌人交锋的异类。而尊所率领的第３５试验小队，又名『虾兵蟹将小队』，是由一群劣等生拼凑而成的队伍。但某一天，拥有『魔女猎人（Dullahan）』资格的超精英枪械高手．凤樱花竟加入了这支队伍。身为队长的尊，带领樱花等队员动身执行回收魔导遗产的任务，岂料──能让苏醒的『英雄』回归尘土的，究竟是少女的枪、还是少年的剑呢！？学园动作奇幻大作在此粉墨登场！！	格斗 魔法 校园 后宫 
54	新妹魔王的契约者	声明：因于太鼻血了，本书不再提供插图。「你曾说过想要妹妹对吧？」向高中生东城刃更宣布再婚的父亲，带了两个成为他继妹的女孩回家同住，结果自己却跑到国外出差去了。澪与万理亚两名少女在父亲离开以后，态度一百八十度大转变，还打算征服刃更。想不到两人的真正身分，分别是新科魔王与梦魔！但是在跟刃更缔结主从契约时，居然出槌变成逆契约，刃更反而变成主人了！？——最强契约者的欲望动作小说登场！	恋爱 魔法 校园 神鬼 后宫 
